,ALL_Uniq,Name_USGSO,density_pop,evi,wind_power,wind_std,offshore_wind,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,res_area,consumption_label,gdp_cons_pop_urban_merged,cluster_label_mk_5,cluster_label_mk_6,cluster_label_mk_7,cluster_label_mk_8,cluster_label_mk_9,cluster_label_mk_10,cluster_label_mk_11,cluster_label_mk_12,cluster_label_mk_13,cluster_label_mk_14,cluster_label_mk_15,cluster_label_mk_16,cluster_label_mk_17,cluster_label_mk_18,cluster_label_mk_19,cluster_label_mk_20,cluster_label_mk_21,cluster_label_mk_22,cluster_label_mk_23,cluster_label_mk_24,cluster_label_mk_25,cluster_label_mk_26,cluster_label_mk_27,cluster_label_mk_28,cluster_label_mk_29,cluster_label_mk_30
44,88385,UNNAMED,0.3435128946279643,-0.1473189477497631,-0.9094318524093458,0.1800646570655134,0.0,0.0,0.0,0.1111173963476064,0.8959420169980215,-0.3156804260537982,-0.8995982298996995,XS,-0.1483620466585455,0,4,3,7,8,7,10,11,2,8,2,5,1,3,5,3,9,3,17,17,21,7,18,4,20,22
45,88410,UNNAMED,-0.9092114467681116,0.8089581143787783,-1.2374462237886257,0.0466551099036042,0.0,2.448937058747292,5.286369710904234,0.1043965488414754,0.7379194149436485,-0.2255677831460243,0.5057481342788949,S,-0.1010105614186102,2,1,2,2,7,4,5,2,11,12,0,3,0,14,17,18,11,9,11,16,13,25,3,24,8,20
46,88411,UNNAMED,-0.8365660541836121,0.7495956723549444,-1.2200984303302378,-0.0063319764379934,0.0,0.0,4.873552464831875,0.102682559826507,0.670903789383227,-0.2177408067409779,-0.3151703266332141,XS,-0.1715637057559924,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
47,88427,UNNAMED,0.2128095172568324,0.6747142933765568,-0.685709629587013,0.1315733304543649,0.0,0.0,0.0,0.0785321339481089,0.5911539213224815,-0.2965317003566045,-0.4743110874672385,XS,-0.1526474477374076,0,4,3,7,8,7,10,11,0,9,2,1,1,3,13,19,20,3,17,17,0,14,17,23,20,22
48,88433,UNNAMED,-0.906156228993427,1.053503955298524,-1.2175434372992608,-0.0367930515850719,0.0,0.0,5.047033619196464,0.1026558090328039,0.650841702905738,-0.2149091384823507,0.5887634514286508,S,0.030901724036744,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,26,24,8,20
49,88440,UNNAMED,0.1013397729159586,0.5269384666157577,-1.035458472312905,0.216213321361656,0.0,0.0,0.0,0.0848153744729584,0.9947057772923942,-0.2511544825571568,-0.2243962635132627,XS,-0.159072058701485,0,4,3,7,8,7,10,11,0,9,2,1,1,3,1,19,20,3,17,17,0,14,17,23,20,22
50,88447,UNNAMED,0.0211315482307773,-0.0834107522538759,-1.035458472312905,0.216213321361656,0.0,0.0,3.859003533343938,0.0848153744729584,0.9600970677644404,-0.2325872346680859,-0.488267394481141,XS,-0.1972346814363522,2,1,2,2,7,0,5,8,9,12,9,13,13,7,18,1,6,15,13,22,6,20,6,3,25,26
51,88449,UNNAMED,-0.2142257893363768,0.5049028383772075,-1.035458472312905,0.216213321361656,0.0,0.0,3.803602755059692,0.0848153744729584,1.031249107900325,-0.2421780496542981,-0.2390802650973709,XS,-0.178493477382517,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,15,11,22,3,3,6,24,25,26
52,88453,Marajo,-0.0732897151869466,0.6979737201112345,-1.290262870876324,0.5607303414510314,0.0,0.0,4.311354420146331,0.0946718299283258,0.7889603259942657,-0.1881345688312902,-0.5707124484070936,XS,-0.1673085588022011,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,15,11,22,3,3,6,24,25,26
53,88454,Marajo,-0.9036649310801111,0.7765033413260471,-1.249702364290589,-0.0772406289720311,0.0,0.0,3.986045267720812,0.0789705213274864,0.4102840518563359,-0.1986198756701776,0.0978282360196954,XS,-0.1412413756241043,2,1,2,2,7,4,5,2,11,12,9,13,0,14,17,18,6,9,11,16,3,3,6,24,25,20
54,88455,UNNAMED,-0.802436104174851,0.9074017169497822,-1.2844740095941436,0.1737232175739096,0.0,2.3396055062481307,5.098349392183023,0.0775065135512113,0.4486785579130979,-0.2115925330229254,-0.5597971432299718,XS,-0.1141646688147905,2,1,2,2,7,4,5,2,11,12,0,13,0,14,17,18,11,9,11,16,3,3,3,24,8,20
55,88460,Marajo,-0.0400827814032501,1.0192324859745052,-1.2921929289990008,0.5329695755010366,0.0,0.0,3.7882453575899646,0.0946718299283258,0.7303522137613557,-0.1749028161295489,-0.5648499114710075,XS,-0.1372284707111515,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,15,11,22,3,3,6,24,25,26
56,88464,Marajo,-0.5528034615767199,0.9492055213164644,-1.3084317572898645,0.2157337066507258,0.0,0.0,4.019777537494548,0.0762662619405783,0.4155133114081157,-0.2238425666316163,-0.2849573636360872,XS,-0.1709719664360348,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,18,6,9,11,22,3,3,6,24,25,20
57,88467,Marajo,-0.5885173541097866,1.1603048842412833,-1.3136542023729871,0.2235951115745173,0.0,0.0,3.7058780309316575,0.0762662619405783,0.3966223916835449,-0.2251188753854171,-0.8395266092636599,XS,-0.1945264387696516,2,1,2,2,7,4,5,8,9,12,9,13,13,7,18,1,6,9,11,22,3,3,6,24,25,26
