ALL_Uniq,Name_USGSO,density_pop,evi,wind_power,wind_std,offshore_wind,geothermal_potential,hydro,temp,solar_pow,solar_seas_ind,res_area,consumption_label,gdp_cons_pop_urban_merged
88427,UNNAMED,0.21280951725683248,0.6747142933765568,-0.685709629587013,0.13157333045436495,0.0,0.0,0.0,0.07853213394810894,0.5911539213224815,-0.29653170035660453,-0.47431108746723855,XS,-0.15264744773740763
88433,UNNAMED,-0.906156228993427,1.053503955298524,-1.2175434372992608,-0.03679305158507192,0.0,0.0,5.047033619196464,0.10265580903280394,0.650841702905738,-0.21490913848235074,0.5887634514286508,S,0.030901724036744068
88440,UNNAMED,0.10133977291595868,0.5269384666157577,-1.035458472312905,0.21621332136165605,0.0,0.0,0.0,0.08481537447295848,0.9947057772923942,-0.25115448255715683,-0.22439626351326272,XS,-0.159072058701485
88447,UNNAMED,0.02113154823077731,-0.08341075225387598,-1.035458472312905,0.21621332136165605,0.0,0.0,3.859003533343938,0.08481537447295848,0.9600970677644403,-0.23258723466808595,-0.48826739448114104,XS,-0.1972346814363522
88449,UNNAMED,-0.21422578933637684,0.5049028383772075,-1.035458472312905,0.21621332136165605,0.0,0.0,3.803602755059692,0.08481537447295848,1.031249107900325,-0.24217804965429818,-0.2390802650973709,XS,-0.17849347738251703
88453,Marajo,-0.07328971518694664,0.6979737201112345,-1.290262870876324,0.5607303414510314,0.0,0.0,4.311354420146331,0.0946718299283258,0.7889603259942657,-0.18813456883129023,-0.5707124484070936,XS,-0.16730855880220116
88454,Marajo,-0.9036649310801113,0.7765033413260471,-1.2497023642905887,-0.07724062897203118,0.0,0.0,3.986045267720812,0.0789705213274864,0.41028405185633593,-0.19861987567017764,0.09782823601969545,XS,-0.1412413756241043
88455,UNNAMED,-0.802436104174851,0.9074017169497822,-1.2844740095941436,0.1737232175739096,0.0,2.3396055062481307,5.098349392183023,0.07750651355121137,0.44867855791309796,-0.21159253302292544,-0.5597971432299718,XS,-0.11416466881479055
88460,Marajo,-0.0400827814032501,1.0192324859745052,-1.2921929289990008,0.5329695755010366,0.0,0.0,3.7882453575899646,0.0946718299283258,0.7303522137613557,-0.17490281612954894,-0.5648499114710075,XS,-0.1372284707111515
88464,Marajo,-0.5528034615767199,0.9492055213164643,-1.3084317572898643,0.21573370665072586,0.0,0.0,4.019777537494548,0.07626626194057835,0.41551331140811576,-0.22384256663161634,-0.2849573636360872,XS,-0.17097196643603488
